training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
8,10,0.9979591836734694,0.9894273127753304,0.9883720930232558,0.9910891089108912,0.9938900203665988,0.976457399103139,0.9832985386221296,0.9892996108949416,0.9907597535934292,0.9841427155599604,0.9886,identity
9,10,0.9979591836734694,0.9903083700440528,0.994186046511628,0.986138613861386,0.9887983706720976,0.9786995515695068,0.9812108559498957,0.9747081712062255,0.9866529774127312,0.981169474727453,0.9861,identity
5,10,0.9918367346938776,0.9920704845814978,0.9912790697674418,0.998019801980198,0.960285132382892,0.9607623318385652,0.9864300626304802,0.9824902723735408,0.9702258726899384,0.975222993062438,0.9813,identity
10,10,0.9948979591836736,0.9955947136563876,0.9912790697674418,0.994059405940594,0.989816700610998,0.976457399103139,0.9853862212943632,0.9785992217898832,0.9866529774127312,0.9871159563924676,0.9882,identity
7,10,0.9938775510204082,0.9938325991189428,0.9864341085271318,0.9891089108910892,0.9887983706720976,0.9887892376681614,0.9843423799582464,0.9883268482490272,0.98870636550308,0.9762140733399404,0.9879,identity
3,10,0.9948979591836736,0.9955947136563876,0.9796511627906976,0.9891089108910892,0.9816700610997964,0.968609865470852,0.9864300626304802,0.9844357976653696,0.9753593429158112,0.9722497522299306,0.9831,identity
6,10,0.9948979591836736,0.99647577092511,0.993217054263566,0.992079207920792,0.9867617107942972,0.98542600896861,0.9916492693110648,0.965953307392996,0.9763860369609856,0.9732408325074332,0.9857,identity
99,10,0.9775510204081632,0.9929515418502204,0.999031007751938,0.994059405940594,0.9714867617107944,0.9730941704035876,0.9739039665970772,0.9173151750972762,0.9743326488706364,0.9930624380574826,0.9769,identity
4,10,0.9979591836734694,0.9973568281938326,0.992248062015504,0.988118811881188,0.9826883910386964,0.968609865470852,0.9832985386221296,0.9766536964980544,0.971252566735113,0.9851337958374627,0.9847,identity
2,10,0.9877551020408164,0.9709251101321584,0.9505813953488372,0.9801980198019802,0.9643584521384928,0.9506726457399104,0.9791231732776616,0.980544747081712,0.9784394250513349,0.977205153617443,0.9721,identity
999,10,0.9959183673469388,0.9973568281938326,0.99515503875969,0.995049504950495,0.9928716904276986,0.984304932735426,0.9906054279749478,0.9883268482490272,0.9866529774127312,0.9881070366699702,0.9916,identity
